sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active,wave,project,asset_id,access_mode,physical_workspace,physical_item
ForecastAccuracy_DW.FactForecastKpi,ForecastAccuracy_DW.v_FactForecastKpi,ForecastAccuracy_DW,FactForecastKpi,Gold,overwrite,daily,1,"[""SalesHistory_Enh.ActualDemandMonthly"",""ForecastHistory_Enh.ForecastDemandMonthly"",""ForecastHistory_Enh.NaiveForecastMonthly""]","[""SalesHistory_Enh.ActualDemandMonthly"",""ForecastHistory_Enh.ForecastDemandMonthly"",""ForecastHistory_Enh.NaiveForecastMonthly"",""ReferenceMaster_Enh.ForecastHorizon""]",True,,forecast_accuracy,ForecastAccuracy_DW.FactForecastKpi,GoldPublish,Enterprise SupplyChain-Dev,SupplyChain_Gold_Warehouse
bronze.brz_wholesale_codis_afi__codatan,Staging_Wrk.v_Codatan,bronze,brz_wholesale_codis_afi__codatan,LogicalBronze,overwrite,daily,0,,,True,,forecast_accuracy,Enterprise_Lakehouse.Wholesale_Codis_AFI.codatan,DirectShortcut,Enterprise SupplyChain-Dev,Enterprise_Lakehouse
bronze.brz_wholesale_codis_afi__comast,Staging_Wrk.v_Comast,bronze,brz_wholesale_codis_afi__comast,LogicalBronze,overwrite,daily,0,,,True,,forecast_accuracy,Enterprise_Lakehouse.Wholesale_Codis_AFI.COMAST,DirectShortcut,Enterprise SupplyChain-Dev,Enterprise_Lakehouse
bronze.brz_wholesale_codis_afi__extord,Staging_Wrk.v_Extord,bronze,brz_wholesale_codis_afi__extord,LogicalBronze,overwrite,daily,0,,,True,,forecast_accuracy,Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORD,DirectShortcut,Enterprise SupplyChain-Dev,Enterprise_Lakehouse
bronze.brz_wholesale_codis_afi__extorit,Staging_Wrk.v_Extorit,bronze,brz_wholesale_codis_afi__extorit,LogicalBronze,overwrite,daily,0,,,True,,forecast_accuracy,Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORIT,DirectShortcut,Enterprise SupplyChain-Dev,Enterprise_Lakehouse
ReferenceMaster_Enh.Calendar,ReferenceMaster_Enh.v_Calendar,ReferenceMaster_Enh,Calendar,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimDate""]",True,,forecast_accuracy,ReferenceMaster_Enh.Calendar,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.CustomerAccount,ReferenceMaster_Enh.v_CustomerAccount,ReferenceMaster_Enh,CustomerAccount,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.AccountMaster""]",True,,forecast_accuracy,ReferenceMaster_Enh.CustomerAccount,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.CustomerAccountGroup,ReferenceMaster_Enh.v_CustomerAccountGroup,ReferenceMaster_Enh,CustomerAccountGroup,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True,,forecast_accuracy,ReferenceMaster_Enh.CustomerAccountGroup,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.CustomerGrouping,ReferenceMaster_Enh.v_CustomerGrouping,ReferenceMaster_Enh,CustomerGrouping,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True,,forecast_accuracy,ReferenceMaster_Enh.CustomerGrouping,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.CustomerShippingLocation,ReferenceMaster_Enh.v_CustomerShippingLocation,ReferenceMaster_Enh,CustomerShippingLocation,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.ShippingLocations""]",True,,forecast_accuracy,ReferenceMaster_Enh.CustomerShippingLocation,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.ForecastCycle,ReferenceMaster_Enh.v_ForecastCycle,ReferenceMaster_Enh,ForecastCycle,ReferenceMaster,overwrite,monthly,1,,"[""ProcessingSeed.ForecastCycle""]",True,,forecast_accuracy,ReferenceMaster_Enh.ForecastCycle,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
